City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Batemans Bay,AU,-35.72,150.18,68.97,47,0,6.71,clear sky
180,Souillac,MU,-20.52,57.52,73.78,88,40,11.5,light rain
181,Manggar,ID,-2.88,108.27,83.91,78,97,5.99,overcast clouds
182,Slavyanka,RU,42.86,131.38,58.06,56,73,8.19,broken clouds
183,Port Elizabeth,ZA,-33.92,25.57,54.32,97,0,2.3,light rain
184,Independenta,RO,45.48,27.75,60.19,62,0,8.03,clear sky
185,Salalah,OM,17.02,54.09,78.06,63,7,1.72,clear sky
186,Mahebourg,MU,-20.41,57.70,73.69,88,40,6.91,scattered clouds
187,Gazojak,TM,41.19,61.40,72.73,19,45,6.55,scattered clouds
188,Amapa,BR,1.00,-52.00,73.08,99,100,1.95,overcast clouds
189,Orlik,RU,52.52,99.83,57.47,27,12,2.59,few clouds
190,Kaitangata,NZ,-46.28,169.85,56.26,63,0,2.73,clear sky
191,Taseyevo,RU,57.22,94.90,62.67,67,100,7.61,overcast clouds
192,Sambava,MG,-14.27,50.17,70.81,79,1,9.04,clear sky
193,Vao,NC,-22.67,167.48,73.89,74,55,17.27,broken clouds
194,Iqaluit,CA,63.75,-68.51,26.33,80,100,12.66,overcast clouds
195,Georgetown,MY,5.41,100.34,80.53,93,20,4.61,few clouds
196,Kununurra,AU,-15.77,128.73,85.98,58,0,4.61,clear sky
197,Kieta,PG,-6.22,155.63,84.54,69,30,4.56,light rain
198,Husavik,IS,66.04,-17.34,45.55,84,11,9.04,few clouds
199,Dikson,RU,73.51,80.55,34.59,93,100,15.12,overcast clouds
200,Antalaha,MG,-14.90,50.28,71.17,83,24,6.98,few clouds
201,Eldorado,BR,-23.79,-54.28,56.82,93,5,5.97,clear sky
202,Leningradskiy,RU,69.38,178.42,26.91,76,100,3.67,overcast clouds
203,Saint-Augustin,CA,51.23,-58.65,39.04,60,73,5.73,broken clouds
204,Tripoli,LY,32.88,13.19,74.53,37,0,8.97,clear sky
205,Sakakah,SA,29.97,40.21,73.71,28,20,9.13,few clouds
206,Dongsheng,CN,39.82,109.98,58.39,12,0,19.08,clear sky
207,Batavia,US,41.85,-88.31,64.18,66,100,4.0,light rain
208,Bredasdorp,ZA,-34.53,20.04,53.78,81,0,3.71,clear sky
209,Mirnyy,RU,62.54,113.96,39.24,86,100,11.01,overcast clouds
210,Itoman,JP,26.12,127.67,64.78,94,75,17.27,mist
211,Butaritari,KI,3.07,172.79,82.04,73,40,10.98,scattered clouds
212,La Asuncion,VE,11.03,-63.86,80.33,83,34,20.71,scattered clouds
213,Meulaboh,ID,4.14,96.13,77.68,88,100,3.91,overcast clouds
214,Aklavik,CA,68.22,-135.01,32.23,99,100,7.49,overcast clouds
215,Chapleau,CA,47.84,-83.40,49.66,60,9,6.04,clear sky
216,Saurimo,AO,-9.66,20.39,61.02,60,0,5.28,clear sky
217,Jalu,LY,29.03,21.55,70.92,34,0,9.71,clear sky
218,Talara,PE,-4.58,-81.27,66.22,85,96,17.05,overcast clouds
219,Tommot,RU,58.96,126.29,34.38,71,100,5.86,overcast clouds
220,Avera,US,33.19,-82.53,76.55,74,94,5.91,overcast clouds
221,Sibolga,ID,1.74,98.78,76.95,91,100,3.04,light rain
222,Sechura,PE,-5.56,-80.82,67.55,75,52,14.79,broken clouds
223,Adjumani,UG,3.38,31.79,65.46,95,90,1.63,overcast clouds
224,Heihe,CN,50.24,127.49,50.58,27,14,14.65,few clouds
225,Daura,NG,11.55,11.41,84.92,23,23,5.59,few clouds
226,Severo-Kurilsk,RU,50.68,156.12,36.64,98,100,14.32,light rain
227,San Francisco,US,37.77,-122.42,75.11,80,75,29.93,broken clouds
228,Teberda,RU,43.45,41.74,40.77,90,100,6.93,overcast clouds
229,Nuuk,GL,64.18,-51.72,29.88,58,0,11.01,clear sky
230,Cherskiy,RU,68.75,161.30,33.94,85,100,8.03,overcast clouds
231,Mitu,CO,1.20,-70.17,73.78,99,100,1.61,light rain
232,Pailitas,CO,8.96,-73.63,79.11,90,100,2.93,overcast clouds
233,Saint George,US,37.10,-113.58,97.39,4,0,17.27,clear sky
234,Ilo,PE,-17.64,-71.34,64.24,82,32,4.72,scattered clouds
235,Kasiri,SL,8.94,-13.11,80.46,89,34,5.12,scattered clouds
236,Itaituba,BR,-4.28,-55.98,75.33,99,100,2.01,overcast clouds
237,Flinders,AU,-34.58,150.86,73.06,66,0,8.99,clear sky
238,Konde,TZ,-4.95,39.75,76.46,83,1,9.71,light rain
239,Henties Bay,NA,-22.12,14.28,63.61,60,5,3.96,clear sky
240,Hualmay,PE,-11.10,-77.61,63.54,84,9,8.72,clear sky
241,Pangnirtung,CA,66.15,-65.71,16.2,91,49,4.63,scattered clouds
242,Klaksvik,FO,62.23,-6.59,47.32,97,80,11.23,broken clouds
243,Kassala,SD,15.45,36.40,86.9,35,0,12.91,clear sky
244,Port Hedland,AU,-20.32,118.57,80.65,26,4,14.97,clear sky
245,Alanya,TR,36.54,32.00,59.13,56,0,5.53,clear sky
246,Galveston,US,29.37,-94.97,83.17,75,0,13.8,clear sky
247,Yulara,AU,-25.24,130.99,68.95,27,1,14.74,clear sky
248,Sioux Lookout,CA,50.10,-91.92,41.5,86,100,10.58,overcast clouds
249,Beyneu,KZ,45.32,55.20,63.9,50,0,6.58,clear sky
250,Comodoro Rivadavia,AR,-45.87,-67.50,37.26,87,0,6.91,clear sky
251,College,US,64.86,-147.80,51.48,48,100,4.0,overcast clouds
252,Plettenberg Bay,ZA,-34.05,23.37,61.21,52,0,4.88,clear sky
253,Irbil,IQ,36.19,44.01,77.38,29,27,15.84,scattered clouds
254,Doha,QA,25.29,51.53,80.58,44,0,9.22,clear sky
255,Moose Factory,CA,51.26,-80.61,58.98,72,100,6.91,overcast clouds
256,Charters Towers,AU,-20.10,146.27,77.95,51,0,4.25,clear sky
257,Tailai,CN,46.38,123.40,62.98,20,31,7.65,scattered clouds
258,Soubre,CI,5.79,-6.61,73.76,99,48,1.81,scattered clouds
259,Axim,GH,4.87,-2.24,78.82,88,86,3.38,light rain
260,Lazaro Cardenas,MX,17.96,-102.20,81.23,61,64,8.9,broken clouds
261,Mizdah,LY,31.45,12.98,70.27,26,0,4.79,clear sky
262,Cardoso,BR,-20.08,-49.91,66.69,94,100,7.25,overcast clouds
263,Bubaque,GW,11.28,-15.83,78.89,86,38,12.19,scattered clouds
264,Hasaki,JP,35.73,140.83,57.6,92,100,16.78,light rain
265,Kudahuvadhoo,MV,2.67,72.89,83.64,75,100,18.14,overcast clouds
266,Faya,SA,18.39,42.45,59.52,12,3,6.33,clear sky
267,Panzhihua,CN,26.59,101.71,63.36,78,100,1.19,overcast clouds
268,Mayo,US,38.89,-76.51,71.55,91,20,6.91,moderate rain
269,Bandarbeyla,SO,9.49,50.81,81.43,80,100,20.22,overcast clouds
270,Uthal,PK,25.81,66.62,81.19,70,0,1.95,clear sky
271,Ixtapa,MX,20.70,-105.20,80.22,70,48,3.0,scattered clouds
272,Srandakan,ID,-7.94,110.25,81.95,81,94,1.79,overcast clouds
273,Ostrovnoy,RU,68.05,39.51,34.77,87,21,6.24,few clouds
274,Thinadhoo,MV,0.53,72.93,83.66,70,100,15.82,overcast clouds
275,Conakry,GN,9.54,-13.68,81.14,88,28,6.24,scattered clouds
276,Lavrentiya,RU,65.58,-171.00,31.78,76,62,10.69,broken clouds
277,Norman Wells,CA,65.28,-126.83,55.83,55,62,16.13,broken clouds
278,Bathsheba,BB,13.22,-59.52,81.21,83,40,25.32,scattered clouds
279,Ban Nahin,LA,18.24,104.21,73.63,97,100,4.09,moderate rain
280,Isla Aguada,MX,18.78,-91.47,82.44,73,23,17.87,few clouds
281,Airai,TL,-8.93,125.41,70.63,63,1,2.28,clear sky
282,Kishtwar,IN,33.32,75.77,63.68,46,25,5.5,scattered clouds
283,Askarovo,RU,53.34,58.51,45.55,100,75,6.71,broken clouds
284,Lakes Entrance,AU,-37.88,147.98,67.15,51,58,9.95,broken clouds
285,Hue,VN,16.47,107.60,80.71,89,75,9.22,broken clouds
286,Bonthe,SL,7.53,-12.51,81.09,87,100,5.17,overcast clouds
287,Providencia,MX,28.72,-111.58,97.21,29,100,8.61,overcast clouds
288,Shenjiamen,CN,29.96,122.30,62.56,68,100,11.36,overcast clouds
289,Manger,NO,60.64,5.04,47.05,82,100,9.17,overcast clouds
290,Changde,CN,29.05,111.68,62.47,73,0,5.82,clear sky
291,Shu,KZ,43.60,73.76,58.35,73,0,2.55,clear sky
292,Juba,SS,4.85,31.58,71.01,88,99,1.5,light rain
293,Faanui,PF,-16.48,-151.75,80.46,72,22,7.85,few clouds
294,Eureka,US,40.80,-124.16,72.75,73,0,5.01,clear sky
295,Svetlaya,RU,46.54,138.33,53.85,50,11,9.62,few clouds
296,Maple Creek,CA,49.92,-109.48,65.39,32,95,3.67,overcast clouds
297,Zabid,YE,14.20,43.32,83.61,39,0,2.95,clear sky
298,Rocha,UY,-34.48,-54.33,47.88,58,55,9.71,broken clouds
299,Krasnofarfornyy,RU,59.14,31.85,38.44,93,50,6.96,scattered clouds
300,Saint Anthony,US,45.02,-93.22,69.85,33,0,13.8,clear sky
301,Lagoa,PT,39.05,-27.98,58.1,80,1,51.09,clear sky
302,Kalmar,SE,56.66,16.36,40.96,93,93,1.01,overcast clouds
303,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,74.61,98,100,1.97,moderate rain
304,Sovetskiy,RU,61.36,63.58,46.74,87,28,4.7,scattered clouds
305,Lebu,CL,-37.62,-73.65,53.4,68,100,1.43,overcast clouds
306,Oranjemund,NA,-28.55,16.43,71.65,25,0,14.05,clear sky
307,Villa Literno,IT,41.01,14.08,65.88,80,100,2.53,overcast clouds
308,Bengkulu,ID,-3.80,102.27,77.34,91,82,3.67,broken clouds
309,Mecca,SA,21.43,39.83,89.82,9,0,8.46,clear sky
310,Yambio,SS,4.57,28.40,67.15,99,100,3.11,light rain
311,Te Anau,NZ,-45.42,167.72,57.76,60,14,3.71,few clouds
312,Newcastle,AU,-32.93,151.78,74.71,60,0,1.99,clear sky
313,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,53.33,62,0,7.74,clear sky
314,Barcelos,PT,41.54,-8.62,62.92,86,100,12.68,overcast clouds
315,Kharabali,RU,47.42,47.26,58.6,60,100,6.17,overcast clouds
316,Ayan,RU,56.45,138.17,34.45,93,100,8.99,overcast clouds
317,Vanimo,PG,-2.67,141.30,84.4,67,92,5.39,overcast clouds
318,Santa Cruz,BO,-17.80,-63.17,69.12,57,100,10.85,overcast clouds
319,Portland,US,45.52,-122.68,69.78,66,40,16.11,scattered clouds
320,Loreto,MX,22.27,-101.97,79.99,12,2,11.21,clear sky
321,Pochutla,MX,15.74,-96.47,85.82,60,100,7.2,overcast clouds
322,Kelvington,CA,52.17,-103.53,50.11,59,57,12.03,broken clouds
323,Inuvik,CA,68.35,-133.72,36.43,100,100,4.21,overcast clouds
324,Puerto Del Rosario,ES,28.50,-13.86,67.75,83,75,10.36,broken clouds
325,Puerto Baquerizo Moreno,EC,-0.90,-89.60,72.64,89,50,8.41,scattered clouds
326,Hede,CN,33.77,120.25,73.15,34,0,12.33,clear sky
327,Neiafu,TO,-18.65,-173.98,77.65,60,26,15.66,scattered clouds
328,La Grande,US,45.32,-118.09,62.98,76,100,3.69,overcast clouds
329,Hereford,GB,52.06,-2.71,60.06,94,100,4.5,overcast clouds
330,Colquechaca,BO,-18.67,-66.02,32.56,58,69,3.91,broken clouds
331,Barguzin,RU,53.62,109.62,59.79,31,60,4.79,broken clouds
332,Narsaq,GL,60.92,-46.05,37.62,71,22,2.86,few clouds
333,Tetouan,MA,35.57,-5.37,59.59,87,9,6.98,clear sky
334,Saint-Pierre,RE,-21.34,55.48,70.92,73,75,6.91,broken clouds
335,Lillooet,CA,50.69,-121.94,55.74,83,96,6.4,overcast clouds
336,Ryotsu,JP,38.08,138.43,61.2,49,100,1.57,overcast clouds
337,Haines Junction,CA,60.75,-137.51,43.75,69,100,0.34,overcast clouds
338,Riga,LV,57.00,24.08,44.67,65,0,6.91,clear sky
339,San Ramon,US,37.78,-121.98,78.53,65,0,12.66,clear sky
340,San Patricio,US,28.02,-97.52,85.17,69,0,14.97,clear sky
341,Surt,LY,31.21,16.59,69.94,38,0,13.13,clear sky
342,Harper,LR,4.38,-7.72,78.58,88,100,7.18,light rain
343,Hailar,CN,49.20,119.70,58.23,28,6,8.93,clear sky
344,Ketchikan,US,55.34,-131.65,48.67,87,100,12.66,moderate rain
345,Barranca,PE,-10.75,-77.77,63.23,84,15,7.2,few clouds
346,Luanda,AO,-8.84,13.23,78.8,83,75,6.91,broken clouds
347,Awbari,LY,26.59,12.78,70.11,17,0,4.92,clear sky
348,Baghdad,IQ,33.34,44.40,82.31,28,100,20.71,overcast clouds
349,Richards Bay,ZA,-28.78,32.04,64.58,87,44,2.39,scattered clouds
350,Mosetse,BW,-20.75,26.65,60.28,78,0,16.67,clear sky
351,Salinopolis,BR,-0.61,-47.36,79.07,88,100,10.6,overcast clouds
352,Diffa,NE,13.32,12.61,83.48,21,59,6.98,broken clouds
353,Bodden Town,KY,19.28,-81.25,81.0,77,52,5.01,broken clouds
354,Ponta Delgada,PT,37.73,-25.67,65.5,77,75,32.21,broken clouds
355,Santarem,BR,-2.44,-54.71,78.93,94,40,3.44,light rain
356,Kiunga,PG,-6.12,141.29,84.31,69,59,1.12,broken clouds
357,Roma,US,43.21,-75.46,71.74,68,0,4.61,clear sky
358,Khangah Dogran,PK,31.83,73.62,89.28,9,57,2.17,broken clouds
359,Roebourne,AU,-20.78,117.13,77.94,29,0,17.27,clear sky
360,Santa Fe,AR,-31.63,-60.70,52.99,65,0,1.99,light rain
361,Pionerskiy,RU,54.95,20.23,35.44,77,8,1.57,clear sky
362,Abu Samrah,SY,35.30,37.18,59.97,77,0,17.67,clear sky
363,Agutaya,PH,11.15,120.94,82.78,69,100,1.36,overcast clouds
