City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Marshalltown,US,69.91,clear sky,42.05,-92.91,Best Western Regency Inn
397,Jardim,BR,61.95,clear sky,-21.48,-56.14,Estancia Hotel - Jardim MS
398,Ust-Kan,RU,50.52,overcast clouds,50.93,84.76,Mini-hotel na Leninskoy
402,Belfort,FR,63.07,broken clouds,47.63,6.87,Best Western Plus hôtel Belfort Centre Gare
403,Ambilobe,MG,68.04,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
406,Tabas,IR,69.69,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
407,Glendive,US,69.49,clear sky,47.11,-104.71,Super 8 by Wyndham Glendive
408,Salmo,CA,51.89,overcast clouds,49.2,-117.27,Reno Motel
410,Viedma,AR,52.27,overcast clouds,-40.81,-63.0,Hotel Cristal
411,Jiuquan,CN,61.02,clear sky,39.74,98.52,Jiuquan Hotel
413,Kodinsk,RU,66.7,few clouds,58.69,99.18,
422,Sicamous,CA,53.19,overcast clouds,50.83,-118.99,Best Western Sicamous Inn
423,Yumen,CN,58.44,clear sky,40.28,97.2,
424,Kozluk,TR,53.85,overcast clouds,38.19,41.49,roni rezisdans kozluk apart otel
425,Charyshskoye,RU,58.62,overcast clouds,51.4,83.56,Gostinitsa Charysh
427,Ribeira Grande,PT,58.66,few clouds,38.52,-28.7,Quinta da Meia Eira
429,Rabo De Peixe,PT,64.27,broken clouds,37.8,-25.58,Quinta das Giestas
436,Sidi Ali,DZ,64.18,few clouds,36.1,0.42,
437,Chapais,CA,58.14,overcast clouds,49.78,-74.85,Hôtel Opémiska
438,Katsuura,JP,59.88,light rain,35.13,140.3,Katsuura Hotel Mikazuki
441,Atasu,KZ,59.85,overcast clouds,48.68,71.64,Dostyk
442,Komsomolskiy,UZ,59.72,clear sky,40.43,71.72,Ikathouse
452,Cooma,AU,58.68,clear sky,-36.23,149.13,High Country Motel
458,Hami,CN,69.8,overcast clouds,42.8,93.45,Laoyutang Resort
459,Balkanabat,TM,69.44,overcast clouds,39.51,54.37,Nebitchi Hotel
462,Walla Walla,US,66.42,overcast clouds,46.06,-118.34,"Holiday Inn Express Walla Walla, an IHG Hotel"
466,Cordoba,AR,50.18,clear sky,-31.41,-64.18,Hotel Sussex
